Date(UTC),Index
07/30/2015,0
07/31/2015,0
08/1/2015,0
08/2/2015,0
08/3/2015,0
08/4/2015,0
08/5/2015,0
08/6/2015,0
08/7/2015,0
08/8/2015,0
08/9/2015,0
08/10/2015,0
08/11/2015,0
08/12/2015,0
08/13/2015,0
08/14/2015,0
08/15/2015,0
08/16/2015,0
08/17/2015,0
08/18/2015,0
08/19/2015,0
08/20/2015,0
08/21/2015,0
08/22/2015,0
08/23/2015,0
08/24/2015,0
08/25/2015,0
08/26/2015,0
08/27/2015,0
08/28/2015,0
08/29/2015,0
08/30/2015,0
08/31/2015,0
09/1/2015,0
09/2/2015,0
09/3/2015,0
09/4/2015,0
09/5/2015,0
09/6/2015,0
09/7/2015,0
09/8/2015,0
09/9/2015,0
09/10/2015,0
09/11/2015,0
09/12/2015,0
09/13/2015,0
09/14/2015,0
09/15/2015,0
09/16/2015,0
09/17/2015,0
09/18/2015,0
09/19/2015,0
09/20/2015,0
09/21/2015,0
09/22/2015,0
09/23/2015,0
09/24/2015,0
09/25/2015,0
09/26/2015,0
09/27/2015,0
09/28/2015,0
09/29/2015,0
09/30/2015,0
10/1/2015,0
10/2/2015,0
10/3/2015,0
10/4/2015,0
10/5/2015,0
10/6/2015,0
10/7/2015,0
10/8/2015,0
10/9/2015,0
10/10/2015,0
10/11/2015,0
10/12/2015,0
10/13/2015,0
10/14/2015,0
10/15/2015,0
10/16/2015,0
10/17/2015,0
10/18/2015,0
10/19/2015,0
10/20/2015,0
10/21/2015,0
10/22/2015,0
10/23/2015,0
10/24/2015,0
10/25/2015,0
10/26/2015,0
10/27/2015,0
10/28/2015,0
10/29/2015,0
10/30/2015,0
10/31/2015,0
11/1/2015,0
11/2/2015,0
11/3/2015,0
11/4/2015,0
11/5/2015,0
11/6/2015,0
11/7/2015,0
11/8/2015,0
11/9/2015,0
11/10/2015,0
11/11/2015,0
11/12/2015,0
11/13/2015,0
11/14/2015,0
11/15/2015,0
11/16/2015,0
11/17/2015,0
11/18/2015,0
11/19/2015,0
11/20/2015,0
11/21/2015,0
11/22/2015,0
11/23/2015,0
11/24/2015,0
11/25/2015,0
11/26/2015,0
11/27/2015,0
11/28/2015,0
11/29/2015,0
11/30/2015,0
12/1/2015,0
12/2/2015,0
12/3/2015,0
12/4/2015,0
12/5/2015,0
12/6/2015,0
12/7/2015,0
12/8/2015,0
12/9/2015,0
12/10/2015,0
12/11/2015,0
12/12/2015,0
12/13/2015,0
12/14/2015,0
12/15/2015,0
12/16/2015,0
12/17/2015,0
12/18/2015,0
12/19/2015,0
12/20/2015,0
12/21/2015,0
12/22/2015,0
12/23/2015,0
12/24/2015,0
12/25/2015,0
12/26/2015,0
12/27/2015,0
12/28/2015,0
12/29/2015,0
12/30/2015,0
12/31/2015,0
01/1/2016,0
01/2/2016,0
01/3/2016,0
01/4/2016,0
01/5/2016,0
01/6/2016,0
01/7/2016,0
01/8/2016,0
01/9/2016,0
01/10/2016,0
01/11/2016,0
01/12/2016,0
01/13/2016,0
01/14/2016,0
01/15/2016,0
01/16/2016,0
01/17/2016,0
01/18/2016,0
01/19/2016,0
01/20/2016,0
01/21/2016,0
01/22/2016,0
01/23/2016,0
01/24/2016,0
01/25/2016,0
01/26/2016,0
01/27/2016,0
01/28/2016,0
01/29/2016,0
01/30/2016,0
01/31/2016,0
02/1/2016,1
02/2/2016,1
02/3/2016,1
02/4/2016,1
02/5/2016,1
02/6/2016,1
02/7/2016,1
02/8/2016,1
02/9/2016,1
02/10/2016,1
02/11/2016,1
02/12/2016,1
02/13/2016,1
02/14/2016,1
02/15/2016,1
02/16/2016,1
02/17/2016,1
02/18/2016,1
02/19/2016,1
02/20/2016,1
02/21/2016,1
02/22/2016,1
02/23/2016,1
02/24/2016,1
02/25/2016,1
02/26/2016,1
02/27/2016,1
02/28/2016,1
02/29/2016,1
03/1/2016,2
03/2/2016,2
03/3/2016,2
03/4/2016,2
03/5/2016,2
03/6/2016,2
03/7/2016,2
03/8/2016,2
03/9/2016,2
03/10/2016,2
03/11/2016,2
03/12/2016,2
03/13/2016,2
03/14/2016,2
03/15/2016,2
03/16/2016,2
03/17/2016,2
03/18/2016,2
03/19/2016,2
03/20/2016,2
03/21/2016,2
03/22/2016,2
03/23/2016,2
03/24/2016,2
03/25/2016,2
03/26/2016,2
03/27/2016,2
03/28/2016,2
03/29/2016,2
03/30/2016,2
03/31/2016,2
04/1/2016,1
04/2/2016,1
04/3/2016,1
04/4/2016,1
04/5/2016,1
04/6/2016,1
04/7/2016,1
04/8/2016,1
04/9/2016,1
04/10/2016,1
04/11/2016,1
04/12/2016,1
04/13/2016,1
04/14/2016,1
04/15/2016,1
04/16/2016,1
04/17/2016,1
04/18/2016,1
04/19/2016,1
04/20/2016,1
04/21/2016,1
04/22/2016,1
04/23/2016,1
04/24/2016,1
04/25/2016,1
04/26/2016,1
04/27/2016,1
04/28/2016,1
04/29/2016,1
04/30/2016,1
05/1/2016,2
05/2/2016,2
05/3/2016,2
05/4/2016,2
05/5/2016,2
05/6/2016,2
05/7/2016,2
05/8/2016,2
05/9/2016,2
05/10/2016,2
05/11/2016,2
05/12/2016,2
05/13/2016,2
05/14/2016,2
05/15/2016,2
05/16/2016,2
05/17/2016,2
05/18/2016,2
05/19/2016,2
05/20/2016,2
05/21/2016,2
05/22/2016,2
05/23/2016,2
05/24/2016,2
05/25/2016,2
05/26/2016,2
05/27/2016,2
05/28/2016,2
05/29/2016,2
05/30/2016,2
05/31/2016,2
06/1/2016,3
06/2/2016,3
06/3/2016,3
06/4/2016,3
06/5/2016,3
06/6/2016,3
06/7/2016,3
06/8/2016,3
06/9/2016,3
06/10/2016,3
06/11/2016,3
06/12/2016,3
06/13/2016,3
06/14/2016,3
06/15/2016,3
06/16/2016,3
06/17/2016,3
06/18/2016,3
06/19/2016,3
06/20/2016,3
06/21/2016,3
06/22/2016,3
06/23/2016,3
06/24/2016,3
06/25/2016,3
06/26/2016,3
06/27/2016,3
06/28/2016,3
06/29/2016,3
06/30/2016,3
07/1/2016,2
07/2/2016,2
07/3/2016,2
07/4/2016,2
07/5/2016,2
07/6/2016,2
07/7/2016,2
07/8/2016,2
07/9/2016,2
07/10/2016,2
07/11/2016,2
07/12/2016,2
07/13/2016,2
07/14/2016,2
07/15/2016,2
07/16/2016,2
07/17/2016,2
07/18/2016,2
07/19/2016,2
07/20/2016,2
07/21/2016,2
07/22/2016,2
07/23/2016,2
07/24/2016,2
07/25/2016,2
07/26/2016,2
07/27/2016,2
07/28/2016,2
07/29/2016,2
07/30/2016,2
07/31/2016,2
08/1/2016,1
08/2/2016,1
08/3/2016,1
08/4/2016,1
08/5/2016,1
08/6/2016,1
08/7/2016,1
08/8/2016,1
08/9/2016,1
08/10/2016,1
08/11/2016,1
08/12/2016,1
08/13/2016,1
08/14/2016,1
08/15/2016,1
08/16/2016,1
08/17/2016,1
08/18/2016,1
08/19/2016,1
08/20/2016,1
08/21/2016,1
08/22/2016,1
08/23/2016,1
08/24/2016,1
08/25/2016,1
08/26/2016,1
08/27/2016,1
08/28/2016,1
08/29/2016,1
08/30/2016,1
08/31/2016,1
09/1/2016,1
09/2/2016,1
09/3/2016,1
09/4/2016,1
09/5/2016,1
09/6/2016,1
09/7/2016,1
09/8/2016,1
09/9/2016,1
09/10/2016,1
09/11/2016,1
09/12/2016,1
09/13/2016,1
09/14/2016,1
09/15/2016,1
09/16/2016,1
09/17/2016,1
09/18/2016,1
09/19/2016,1
09/20/2016,1
09/21/2016,1
09/22/2016,1
09/23/2016,1
09/24/2016,1
09/25/2016,1
09/26/2016,1
09/27/2016,1
09/28/2016,1
09/29/2016,1
09/30/2016,1
10/1/2016,1
10/2/2016,1
10/3/2016,1
10/4/2016,1
10/5/2016,1
10/6/2016,1
10/7/2016,1
10/8/2016,1
10/9/2016,1
10/10/2016,1
10/11/2016,1
10/12/2016,1
10/13/2016,1
10/14/2016,1
10/15/2016,1
10/16/2016,1
10/17/2016,1
10/18/2016,1
10/19/2016,1
10/20/2016,1
10/21/2016,1
10/22/2016,1
10/23/2016,1
10/24/2016,1
10/25/2016,1
10/26/2016,1
10/27/2016,1
10/28/2016,1
10/29/2016,1
10/30/2016,1
10/31/2016,1
11/1/2016,1
11/2/2016,1
11/3/2016,1
11/4/2016,1
11/5/2016,1
11/6/2016,1
11/7/2016,1
11/8/2016,1
11/9/2016,1
11/10/2016,1
11/11/2016,1
11/12/2016,1
11/13/2016,1
11/14/2016,1
11/15/2016,1
11/16/2016,1
11/17/2016,1
11/18/2016,1
11/19/2016,1
11/20/2016,1
11/21/2016,1
11/22/2016,1
11/23/2016,1
11/24/2016,1
11/25/2016,1
11/26/2016,1
11/27/2016,1
11/28/2016,1
11/29/2016,1
11/30/2016,1
12/1/2016,1
12/2/2016,1
12/3/2016,1
12/4/2016,1
12/5/2016,1
12/6/2016,1
12/7/2016,1
12/8/2016,1
12/9/2016,1
12/10/2016,1
12/11/2016,1
12/12/2016,1
12/13/2016,1
12/14/2016,1
12/15/2016,1
12/16/2016,1
12/17/2016,1
12/18/2016,1
12/19/2016,1
12/20/2016,1
12/21/2016,1
12/22/2016,1
12/23/2016,1
12/24/2016,1
12/25/2016,1
12/26/2016,1
12/27/2016,1
12/28/2016,1
12/29/2016,1
12/30/2016,1
12/31/2016,1
01/1/2017,1
01/2/2017,1
01/3/2017,1
01/4/2017,1
01/5/2017,1
01/6/2017,1
01/7/2017,1
01/8/2017,1
01/9/2017,1
01/10/2017,1
01/11/2017,1
01/12/2017,1
01/13/2017,1
01/14/2017,1
01/15/2017,1
01/16/2017,1
01/17/2017,1
01/18/2017,1
01/19/2017,1
01/20/2017,1
01/21/2017,1
01/22/2017,1
01/23/2017,1
01/24/2017,1
01/25/2017,1
01/26/2017,1
01/27/2017,1
01/28/2017,1
01/29/2017,1
01/30/2017,1
01/31/2017,1
02/1/2017,1
02/2/2017,1
02/3/2017,1
02/4/2017,1
02/5/2017,1
02/6/2017,1
02/7/2017,1
02/8/2017,1
02/9/2017,1
02/10/2017,1
02/11/2017,1
02/12/2017,1
02/13/2017,1
02/14/2017,1
02/15/2017,1
02/16/2017,1
02/17/2017,1
02/18/2017,1
02/19/2017,1
02/20/2017,1
02/21/2017,1
02/22/2017,1
02/23/2017,1
02/24/2017,1
02/25/2017,1
02/26/2017,1
02/27/2017,1
02/28/2017,1
03/1/2017,5
03/2/2017,5
03/3/2017,5
03/4/2017,5
03/5/2017,5
03/6/2017,5
03/7/2017,5
03/8/2017,5
03/9/2017,5
03/10/2017,5
03/11/2017,5
03/12/2017,5
03/13/2017,5
03/14/2017,5
03/15/2017,5
03/16/2017,5
03/17/2017,5
03/18/2017,5
03/19/2017,5
03/20/2017,5
03/21/2017,5
03/22/2017,5
03/23/2017,5
03/24/2017,5
03/25/2017,5
03/26/2017,5
03/27/2017,5
03/28/2017,5
03/29/2017,5
03/30/2017,5
03/31/2017,5
04/1/2017,4
04/2/2017,4
04/3/2017,4
04/4/2017,4
04/5/2017,4
04/6/2017,4
04/7/2017,4
04/8/2017,4
04/9/2017,4
04/10/2017,4
04/11/2017,4
04/12/2017,4
04/13/2017,4
04/14/2017,4
04/15/2017,4
04/16/2017,4
04/17/2017,4
04/18/2017,4
04/19/2017,4
04/20/2017,4
04/21/2017,4
04/22/2017,4
04/23/2017,4
04/24/2017,4
04/25/2017,4
04/26/2017,4
04/27/2017,4
04/28/2017,4
04/29/2017,4
04/30/2017,4
05/1/2017,18
05/2/2017,18
05/3/2017,18
05/4/2017,18
05/5/2017,18
05/6/2017,18
05/7/2017,18
05/8/2017,18
05/9/2017,18
05/10/2017,18
05/11/2017,18
05/12/2017,18
05/13/2017,18
05/14/2017,18
05/15/2017,18
05/16/2017,18
05/17/2017,18
05/18/2017,18
05/19/2017,18
05/20/2017,18
05/21/2017,18
05/22/2017,18
05/23/2017,18
05/24/2017,18
05/25/2017,18
05/26/2017,18
05/27/2017,18
05/28/2017,18
05/29/2017,18
05/30/2017,18
05/31/2017,18
06/1/2017,38
06/2/2017,38
06/3/2017,38
06/4/2017,38
06/5/2017,38
06/6/2017,38
06/7/2017,38
06/8/2017,38
06/9/2017,38
06/10/2017,38
06/11/2017,38
06/12/2017,38
06/13/2017,38
06/14/2017,38
06/15/2017,38
06/16/2017,38
06/17/2017,38
06/18/2017,38
06/19/2017,38
06/20/2017,38
06/21/2017,38
06/22/2017,38
06/23/2017,38
06/24/2017,38
06/25/2017,38
06/26/2017,38
06/27/2017,38
06/28/2017,38
06/29/2017,38
06/30/2017,38
07/1/2017,21
07/2/2017,21
07/3/2017,21
07/4/2017,21
07/5/2017,21
07/6/2017,21
07/7/2017,21
07/8/2017,21
07/9/2017,21
07/10/2017,21
07/11/2017,21
07/12/2017,21
07/13/2017,21
07/14/2017,21
07/15/2017,21
07/16/2017,21
07/17/2017,21
07/18/2017,21
07/19/2017,21
07/20/2017,21
07/21/2017,21
07/22/2017,21
07/23/2017,21
07/24/2017,21
07/25/2017,21
07/26/2017,21
07/27/2017,21
07/28/2017,21
07/29/2017,21
07/30/2017,21
07/31/2017,21
08/1/2017,18
08/2/2017,18
08/3/2017,18
08/4/2017,18
08/5/2017,18
08/6/2017,18
08/7/2017,18
08/8/2017,18
08/9/2017,18
08/10/2017,18
08/11/2017,18
08/12/2017,18
08/13/2017,18
08/14/2017,18
08/15/2017,18
08/16/2017,18
08/17/2017,18
08/18/2017,18
08/19/2017,18
08/20/2017,18
08/21/2017,18
08/22/2017,18
08/23/2017,18
08/24/2017,18
08/25/2017,18
08/26/2017,18
08/27/2017,18
08/28/2017,18
08/29/2017,18
08/30/2017,18
08/31/2017,18
09/1/2017,14
09/2/2017,14
09/3/2017,14
09/4/2017,14
09/5/2017,14
09/6/2017,14
09/7/2017,14
09/8/2017,14
09/9/2017,14
09/10/2017,14
09/11/2017,14
09/12/2017,14
09/13/2017,14
09/14/2017,14
09/15/2017,14
09/16/2017,14
09/17/2017,14
09/18/2017,14
09/19/2017,14
09/20/2017,14
09/21/2017,14
09/22/2017,14
09/23/2017,14
09/24/2017,14
09/25/2017,14
09/26/2017,14
09/27/2017,14
09/28/2017,14
09/29/2017,14
09/30/2017,14
10/1/2017,13
10/2/2017,13
10/3/2017,13
10/4/2017,13
10/5/2017,13
10/6/2017,13
10/7/2017,13
10/8/2017,13
10/9/2017,13
10/10/2017,13
10/11/2017,13
10/12/2017,13
10/13/2017,13
10/14/2017,13
10/15/2017,13
10/16/2017,13
10/17/2017,13
10/18/2017,13
10/19/2017,13
10/20/2017,13
10/21/2017,13
10/22/2017,13
10/23/2017,13
10/24/2017,13
10/25/2017,13
10/26/2017,13
10/27/2017,13
10/28/2017,13
10/29/2017,13
10/30/2017,13
10/31/2017,13
11/1/2017,24
11/2/2017,24
11/3/2017,24
11/4/2017,24
11/5/2017,24
11/6/2017,24
11/7/2017,24
11/8/2017,24
11/9/2017,24
11/10/2017,24
11/11/2017,24
11/12/2017,24
11/13/2017,24
11/14/2017,24
11/15/2017,24
11/16/2017,24
11/17/2017,24
11/18/2017,24
11/19/2017,24
11/20/2017,24
11/21/2017,24
11/22/2017,24
11/23/2017,24
11/24/2017,24
11/25/2017,24
11/26/2017,24
11/27/2017,24
11/28/2017,24
11/29/2017,24
11/30/2017,24
12/1/2017,46
12/2/2017,46
12/3/2017,46
12/4/2017,46
12/5/2017,46
12/6/2017,46
12/7/2017,46
12/8/2017,46
12/9/2017,46
12/10/2017,46
12/11/2017,46
12/12/2017,46
12/13/2017,46
12/14/2017,46
12/15/2017,46
12/16/2017,46
12/17/2017,46
12/18/2017,46
12/19/2017,46
12/20/2017,46
12/21/2017,46
12/22/2017,46
12/23/2017,46
12/24/2017,46
12/25/2017,46
12/26/2017,46
12/27/2017,46
12/28/2017,46
12/29/2017,46
12/30/2017,46
12/31/2017,46
01/1/2018,43
01/2/2018,43
01/3/2018,43
01/4/2018,43
01/5/2018,43
01/6/2018,43
01/7/2018,43
01/8/2018,43
01/9/2018,43
01/10/2018,43
01/11/2018,43
01/12/2018,43
01/13/2018,43
01/14/2018,43
01/15/2018,43
01/16/2018,43
01/17/2018,43
01/18/2018,43
01/19/2018,43
01/20/2018,43
01/21/2018,43
01/22/2018,43
01/23/2018,43
01/24/2018,43
01/25/2018,43
01/26/2018,43
01/27/2018,43
01/28/2018,43
01/29/2018,43
01/30/2018,43
01/31/2018,43
02/1/2018,19
02/2/2018,19
02/3/2018,19
02/4/2018,19
02/5/2018,19
02/6/2018,19
02/7/2018,19
02/8/2018,19
02/9/2018,19
02/10/2018,19
02/11/2018,19
02/12/2018,19
02/13/2018,19
02/14/2018,19
02/15/2018,19
02/16/2018,19
02/17/2018,19
02/18/2018,19
02/19/2018,19
02/20/2018,19
02/21/2018,19
02/22/2018,19
02/23/2018,19
02/24/2018,19
02/25/2018,19
02/26/2018,19
02/27/2018,19
02/28/2018,19
03/1/2018,12
03/2/2018,12
03/3/2018,12
03/4/2018,12
03/5/2018,12
03/6/2018,12
03/7/2018,12
03/8/2018,12
03/9/2018,12
03/10/2018,12
03/11/2018,12
03/12/2018,12
03/13/2018,12
03/14/2018,12
03/15/2018,12
03/16/2018,12
03/17/2018,12
03/18/2018,12
03/19/2018,12
03/20/2018,12
03/21/2018,12
03/22/2018,12
03/23/2018,12
03/24/2018,12
03/25/2018,12
03/26/2018,12
03/27/2018,12
03/28/2018,12
03/29/2018,12
03/30/2018,12
03/31/2018,12
04/1/2018,9
04/2/2018,9
04/3/2018,9
04/4/2018,9
04/5/2018,9
04/6/2018,9
04/7/2018,9
04/8/2018,9
04/9/2018,9
04/10/2018,9
04/11/2018,9
04/12/2018,9
04/13/2018,9
04/14/2018,9
04/15/2018,9
04/16/2018,9
04/17/2018,9
04/18/2018,9
04/19/2018,9
04/20/2018,9
04/21/2018,9
04/22/2018,9
04/23/2018,9
04/24/2018,9
04/25/2018,9
04/26/2018,9
04/27/2018,9
04/28/2018,9
04/29/2018,9
04/30/2018,9
05/1/2018,9
05/2/2018,9
05/3/2018,9
05/4/2018,9
05/5/2018,9
05/6/2018,9
05/7/2018,9
05/8/2018,9
05/9/2018,9
05/10/2018,9
05/11/2018,9
05/12/2018,9
05/13/2018,9
05/14/2018,9
05/15/2018,9
05/16/2018,9
05/17/2018,9
05/18/2018,9
05/19/2018,9
05/20/2018,9
05/21/2018,9
05/22/2018,9
05/23/2018,9
05/24/2018,9
05/25/2018,9
05/26/2018,9
05/27/2018,9
05/28/2018,9
05/29/2018,9
05/30/2018,9
05/31/2018,9
06/1/2018,6
06/2/2018,6
06/3/2018,6
06/4/2018,6
06/5/2018,6
06/6/2018,6
06/7/2018,6
06/8/2018,6
06/9/2018,6
06/10/2018,6
06/11/2018,6
06/12/2018,6
06/13/2018,6
06/14/2018,6
06/15/2018,6
06/16/2018,6
06/17/2018,6
06/18/2018,6
06/19/2018,6
06/20/2018,6
06/21/2018,6
06/22/2018,6
06/23/2018,6
06/24/2018,6
06/25/2018,6
06/26/2018,6
06/27/2018,6
06/28/2018,6
06/29/2018,6
06/30/2018,6
07/1/2018,5
07/2/2018,5
07/3/2018,5
07/4/2018,5
07/5/2018,5
07/6/2018,5
07/7/2018,5
07/8/2018,5
07/9/2018,5
07/10/2018,5
07/11/2018,5
07/12/2018,5
07/13/2018,5
07/14/2018,5
07/15/2018,5
07/16/2018,5
07/17/2018,5
07/18/2018,5
07/19/2018,5
07/20/2018,5
07/21/2018,5
07/22/2018,5
07/23/2018,5
07/24/2018,5
07/25/2018,5
07/26/2018,5
07/27/2018,5
07/28/2018,5
07/29/2018,5
07/30/2018,5
07/31/2018,5
08/1/2018,7
08/2/2018,7
08/3/2018,7
08/4/2018,7
08/5/2018,7
08/6/2018,7
08/7/2018,7
08/8/2018,7
08/9/2018,7
08/10/2018,7
08/11/2018,7
08/12/2018,7
08/13/2018,7
08/14/2018,7
08/15/2018,7
08/16/2018,7
08/17/2018,7
08/18/2018,7
08/19/2018,7
08/20/2018,7
08/21/2018,7
08/22/2018,7
08/23/2018,7
08/24/2018,7
08/25/2018,7
08/26/2018,7
08/27/2018,7
08/28/2018,7
08/29/2018,7
08/30/2018,7
08/31/2018,7
09/1/2018,5
09/2/2018,5
09/3/2018,5
09/4/2018,5
09/5/2018,5
09/6/2018,5
09/7/2018,5
09/8/2018,5
09/9/2018,5
09/10/2018,5
09/11/2018,5
09/12/2018,5
09/13/2018,5
09/14/2018,5
09/15/2018,5
09/16/2018,5
09/17/2018,5
09/18/2018,5
09/19/2018,5
09/20/2018,5
09/21/2018,5
09/22/2018,5
09/23/2018,5
09/24/2018,5
09/25/2018,5
09/26/2018,5
09/27/2018,5
09/28/2018,5
09/29/2018,5
09/30/2018,5
10/1/2018,3
10/2/2018,3
10/3/2018,3
10/4/2018,3
10/5/2018,3
10/6/2018,3
10/7/2018,3
10/8/2018,3
10/9/2018,3
10/10/2018,3
10/11/2018,3
10/12/2018,3
10/13/2018,3
10/14/2018,3
10/15/2018,3
10/16/2018,3
10/17/2018,3
10/18/2018,3
10/19/2018,3
10/20/2018,3
10/21/2018,3
10/22/2018,3
10/23/2018,3
10/24/2018,3
10/25/2018,3
10/26/2018,3
10/27/2018,3
10/28/2018,3
10/29/2018,3
10/30/2018,3
10/31/2018,3
11/1/2018,4
11/2/2018,4
11/3/2018,4
11/4/2018,4
11/5/2018,4
11/6/2018,4
11/7/2018,4
11/8/2018,4
11/9/2018,4
11/10/2018,4
11/11/2018,4
11/12/2018,4
11/13/2018,4
11/14/2018,4
11/15/2018,4
11/16/2018,4
11/17/2018,4
11/18/2018,4
11/19/2018,4
11/20/2018,4
11/21/2018,4
11/22/2018,4
11/23/2018,4
11/24/2018,4
11/25/2018,4
11/26/2018,4
11/27/2018,4
11/28/2018,4
11/29/2018,4
11/30/2018,4
12/1/2018,4
12/2/2018,4
12/3/2018,4
12/4/2018,4
12/5/2018,4
12/6/2018,4
12/7/2018,4
12/8/2018,4
12/9/2018,4
12/10/2018,4
12/11/2018,4
12/12/2018,4
12/13/2018,4
12/14/2018,4
12/15/2018,4
12/16/2018,4
12/17/2018,4
12/18/2018,4
12/19/2018,4
12/20/2018,4
12/21/2018,4
12/22/2018,4
12/23/2018,4
